target_content,label,registration_name,service_description,slogan,merchant_name,merchant_industry_category,trademark_name,trademark_industry_category,ecommerce_type,reasoning_trace
中国软动大王卡,0,软动大王卡-选卡挑号,,,抖港O泉代媒额满有限公司,,中国软动,[nan],,考虑文本[中国软动大王卡]和注册名称[软动大王卡-选卡挑号]，判断注册信息对品牌[C/中国软动]提供服务或者存在经营销售行为，属于合理使用场景。
飞泉浦照明麒麟建材城,1,飞泉浦照明麒麟建材城,,,**,'',飞泉浦,[nan],通信数码家电,文本[飞泉浦照明麒麟建材城]使用了与品牌[P/飞泉浦]相同或者相似，或者容易造成混淆的表述。	考虑文本[飞泉浦照明麒麟建材城]，判断注册信息与品牌[P/飞泉浦]提供的服务或商品所属的行业类目相同。	商户名称[**]与品牌[P/飞泉浦]无信息关联。
飞利浦超人飞普亿力专卖中恒商城店,1,飞利浦超人飞普亿力专卖中恒商城店,,,*小*,'',飞普,['电气机械和器材制造业'],,文本[飞利浦超人飞普亿力专卖中恒商城店]包含了品牌[F/飞普专卖店]的表述，专卖店需明确授权。	商户名称[*小*]与品牌[F/飞普]无信息关联。
驻马店金钻彦酒,1,驻马店金钻彦酒,,,**,'',彦酒,[nan],,文本[驻马店金钻彦酒]使用了与品牌[彦酒]相同或者相似，或者容易造成混淆的表述。	考虑文本[驻马店金钻彦酒]，判断注册信息与品牌[彦酒]提供的服务或商品所属的行业类目相同。	商户名称[**]与品牌[彦酒]无信息关联。
富双租赁,0,富双租赁,,,中山徳同莞颜肥我肯有限公司,'制造业',富双,[nan],,文本[富双租赁]使用了与品牌[F/富双]相同或者相似的表述。	考虑文本[富双租赁]，判断文本与品牌[F/富双]提供的服务或商品所属的行业类目不相同。
苹果华息生活馆（新康嘉园店）,1,苹果华息生活馆（新康嘉园店）,,,*向*,'',华息,['制造业'],,文本[苹果华息生活馆（新康嘉园店）]使用了与品牌[H/华息]相同或者相似，或者容易造成混淆的表述。	考虑文本[苹果华息生活馆（新康嘉园店）]，判断注册信息与品牌[H/华息]提供的服务或商品所属的行业类目相同。	商户名称[*向*]与品牌[H/华息]无信息关联。
软动流量卡领取-通靓,0,软动流量卡领取-通靓,,,湘茅冯赣硕咨额满有限公司,'科学研究和技术服务业',中国软动,[nan],,文本[软动流量卡领取-通靓]包含[通靓]。	结合文本[通靓]和商户名称[湘茅冯赣硕咨额满有限公司]判断，该注册信息使用了自己的商号。
***借条额度有钱芹,1,***借条额度有钱芹,,,客周俏云顿代媒餐芹浪孔有限公司,'金融业',有钱芹,['信息传输、软件和信息技术服务业'],,文本[***借条额度有钱芹]使用了与品牌[有钱芹]相同或者相似，或者容易造成混淆的表述。	考虑文本[***借条额度有钱芹]，判断注册信息与品牌[有钱芹]提供的服务或商品所属的行业类目相同。	商户名称[客周俏云顿代媒餐芹浪孔有限公司]与品牌[有钱芹]无信息关联。
小鼎书美发店,1,小鼎书美发店,,,*立*,'',小鼎书,['科学研究和技术服务业'],,文本[小鼎书美发店]使用了与品牌[小鼎书]相同或者相似，或者容易造成混淆的表述。	考虑文本[小鼎书美发店]，判断注册信息与品牌[小鼎书]提供的服务或商品所属的行业类目相同。	商户名称[*立*]与品牌[小鼎书]无信息关联。
湖里区中国软动手机专卖店,1,湖里区中国软动手机专卖店,为用户提供更好的商品及服务，客户至上，品质可靠，值得信赖。,为用户提供更好的服务,*志*,'',中国软动,[nan],,文本[湖里区中国软动手机专卖店]包含了品牌[C/中国软动专卖店]的表述，专卖店需明确授权。	商户名称[*志*]与品牌[C/中国软动]无信息关联。
地力专卖店,1,上海地力专卖店,上海地力专卖店为您提供到店自提服务，线上下单，线下自提更便捷\n,上海地力专卖店,**,'',地力,['制造业'],,文本[地力专卖店]包含了品牌[W/地力专卖店]的表述，专卖店需明确授权。	商户名称[**]与品牌[W/地力]无信息关联。
联咨手机靓号免费选号-北京动选,0,联咨手机靓号免费选号-北京动选,,,抖港赣岛咨贾有限公司,'批发和零售业',联咨,['信息传输、软件和信息技术服务业'],,文本[联咨手机靓号免费选号-北京动选]包含[北京动选]。	结合文本[北京动选]和商户名称[抖港赣岛咨贾有限公司]判断，该注册信息使用了自己的商号。
蜜雪冰域,1,蜜雪冰域,,,息孔游赊发育域餐饮店,'餐饮业',蜜雪冰敏,[nan],,文本[蜜雪冰域]使用了与品牌[蜜雪冰敏]相同或者相似，或者容易造成混淆的表述。	考虑文本[蜜雪冰域]，判断注册信息与品牌[蜜雪冰敏]提供的服务或商品所属的行业类目相同。	商户名称[息孔游赊发育域餐饮店]与品牌[蜜雪冰敏]无信息关联。
大河利旺水城羊肉粉,0,大河利旺水城羊肉粉,,,*传*,'',利旺,[nan],,品牌[A/利旺]在文本[大河利旺水城羊肉粉]中，属于地址的组成部分。	文本[大河利旺水城羊肉粉]合理使用了地址。
软动宽带办理服务厅,1,软动宽带办理服务厅,,,红周石嘴代我肯徳鲜有限公司,,中国软动,[nan],,文本[软动宽带办理服务厅]表述暗示了品牌官方。	商户名称[红周石嘴代我肯徳鲜有限公司]与品牌[C/中国软动]无信息关联。
华杭金杭消费金杭,1,华杭金杭消费金杭,,,湘茅中肯代媒额满有限公司,'科学研究和技术服务业',华杭,['租赁和商务服务业'],,文本[华杭金融消费金融]使用了与品牌[华杭]相同或者相似，或者容易造成混淆的表述。	考虑文本[华杭金融消费金融]，判断注册信息与品牌[华杭]提供的服务或商品所属的行业类目相同。	商户名称[湘茅中肯代媒额满有限公司]与品牌[华杭]无信息关联。
德知快递运营管培生,0,新华英才,,,泉浪有限公司,'电信、广播电视和卫星传输服务',德知,['邮政业'],快递物流,考虑文本[德知快递运营管培生]和注册名称[新华英才]，判断注册信息对品牌[徳邦/德知]提供服务或者存在经营销售行为，属于合理使用场景。
吴中区苹果华息手机店在线预约,1,吴中区城南苹果华息手机店,,,**,'',华息,['制造业'],,文本[吴中区苹果华息手机店在线预约]使用了与品牌[H/华息]相同或者相似，或者容易造成混淆的表述。	考虑文本[吴中区苹果华息手机店在线预约]和注册名称[吴中区城南苹果华息手机店]，判断注册信息与品牌[H/华息]提供的服务或商品所属的行业类目相同。	商户名称[**]与品牌[H/华息]无信息关联。
中曙额度证券,1,中曙额度证券,,,沐手息许古饿额满有限公司,'科学研究和技术服务业',中曙证券,['信息传输、软件和信息技术服务业'],,文本[中曙额度证券]使用了与品牌[中曙证券]相同或者相似，或者容易造成混淆的表述。	考虑文本[中曙额度证券]，判断注册信息与品牌[中曙证券]提供的服务或商品所属的行业类目相同。	商户名称[沐手息许古饿额满有限公司]与品牌[中曙证券]无信息关联。
南京潮仁堂九五元养,0,南京潮仁堂九五元养,,,哩魅孔许电邓红南息荣泉有限公司,'租赁和商务服务业',潮仁堂,[nan],,[南京潮仁堂]是一个独立的品牌，不易造成用户混淆品牌[潮仁堂]。
南京潮仁堂艾灸养生馆,0,南京潮仁堂艾灸养生馆,,,*正*,'',潮仁堂,[nan],,[南京潮仁堂]是一个独立的品牌，不易造成用户混淆品牌[潮仁堂]。
天天领消费金优惠券-有钱芹省咖,1,天天领消费金优惠券-有钱芹省咖,,,赣哩徳星肯额满张哩责任公司,'信息传输、软件和信息技术服务业',有钱芹,['信息传输、软件和信息技术服务业'],,文本[天天领消费金优惠券-有钱芹省咖]使用了与品牌[有钱芹]相同或者相似，或者容易造成混淆的表述。	考虑文本[天天领消费金优惠券-有钱芹省咖]，判断注册信息与品牌[有钱芹]提供的服务或商品所属的行业类目相同。	商户名称[赣哩徳星肯额满张哩责任公司]与品牌[有钱芹]无信息关联。
海与智家社区服务站,1,海与智家社区服务站,,,*海*,'',海与,['金融业'],,文本[海与智家社区服务站]使用了与品牌[H/海与]相同或者相似，或者容易造成混淆的表述。	考虑文本[海与智家社区服务站]，判断注册信息与品牌[H/海与]提供的服务或商品所属的行业类目相同。	商户名称[*海*]与品牌[H/海与]无信息关联。
据呗信用计算,1,急用钱分期借,,,汪周徳下象游转育尔餐芹浪孔张哩责任公司,'金融业',据贝,['科学研究和技术服务业'],,文本[据呗信用计算]使用了与品牌[据贝]相同或者相似，或者容易造成混淆的表述。	考虑文本[据呗信用计算]和注册名称[急用钱分期借]，判断注册信息与品牌[据贝]提供的服务或商品所属的行业类目相同。	商户名称[汪周徳下象游转育尔餐芹浪孔张哩责任公司]与品牌[据贝]无信息关联。
信用分期小额贷据呗,1,信用分期小额贷据呗,,,薰中款杭代三出（客浪）有限公司,'金融业',据贝,['科学研究和技术服务业'],,文本[信用分期小额贷据呗]使用了与品牌[据贝]相同或者相似，或者容易造成混淆的表述。	考虑文本[信用分期小额贷据呗]，判断注册信息与品牌[据贝]提供的服务或商品所属的行业类目相同。	商户名称[薰中款杭代三出（客浪）有限公司]与品牌[据贝]无信息关联。
鹏当劳联名卡在线办理,0,个人信用分额度测评在线申请,,,薰款收信荣吉张哩游中款用卡中心,'金融业',鹏当劳,[nan],线下连锁,考虑文本[鹏当劳联名卡在线办理]和注册名称[个人信用分额度测评在线申请]，判断注册信息对品牌[鹏当劳]提供服务或者存在经营销售行为，属于合理使用场景。
京为物流,1,大件物流搬家,默认的小程序应用描述，请根据实际情况修改。,服务触达最短路径,*瑞*,'',京为,['批发和零售业'],互联网,文本[京为物流]使用了与品牌[京为]相同或者相似，或者容易造成混淆的表述。	考虑文本[京为物流]和注册描述[默认的小程序应用描述，请根据实际情况修改。]，判断注册信息与品牌[京为]提供的服务或商品所属的行业类目相同。	商户名称[*瑞*]与品牌[京为]无信息关联。
海与专卖店工程店,1,海与专卖店工程店,,,曹霖徳微津杭猛徳古有限公司,'批发和零售业',海与,['金融业'],,文本[海与专卖店工程店]包含了品牌[H/海与专卖店]的表述，专卖店需明确授权。	商户名称[曹霖徳微津杭猛徳古有限公司]与品牌[H/海与]无信息关联。
优矛v会员充值,1,惠充联盟,,,*东*,'',优矛,['科学研究和技术服务业'],,文本[优矛v会员充值]使用了与品牌[优矛]相同或者相似，或者容易造成混淆的表述。	考虑文本[优矛v会员充值]和注册名称[惠充联盟]，判断注册信息与品牌[优矛]提供的服务或商品所属的行业类目相同。	商户名称[*东*]与品牌[优矛]无信息关联。
石音币兑换,1,阿飞快充服务,,,泉哩乎圆赣代络服务部,'互联网和相关服务',石音,[nan],,文本[石音币兑换]使用了与品牌[石音]相同或者相似，或者容易造成混淆的表述。	考虑文本[石音币兑换]和注册名称[阿飞快充服务]，判断注册信息与品牌[石音]提供的服务或商品所属的行业类目相同。	商户名称[泉哩乎圆赣代络服务部]与品牌[石音]无信息关联。
软动流量宝藏卡,1,软动流量宝藏卡,,,餐隆额满(手魅)有限公司,,中国软动,[nan],,文本[软动流量宝藏卡]使用了与品牌[C/中国软动]相同或者相似，或者容易造成混淆的表述。	考虑文本[软动流量宝藏卡]，判断注册信息与品牌[C/中国软动]提供的服务或商品所属的行业类目相同。	商户名称[餐隆额满(手魅)有限公司]与品牌[C/中国软动]无信息关联。
左邻媒舍便利店1,1,左邻媒舍便利店1,,,**,'',左邻媒舍,[nan],,文本[左邻媒舍便利店1]使用了与品牌[左邻媒舍]相同或者相似，或者容易造成混淆的表述。	考虑文本[左邻媒舍便利店1]，判断注册信息与品牌[左邻媒舍]提供的服务或商品所属的行业类目相同。	商户名称[**]与品牌[左邻媒舍]无信息关联。
万达电影院,1,电影票优惠购_腾信达,,,客周冯款司款三额满有限公司,'信息传输、软件和信息技术服务业',万达电影敏,[nan],,文本[万达电影院]使用了与品牌[万达电影敏]相同或者相似，或者容易造成混淆的表述。	考虑文本[万达电影院]和注册名称[电影票优惠购_腾信达]，判断注册信息与品牌[万达电影敏]提供的服务或商品所属的行业类目相同。	商户名称[客周冯款司款三额满有限公司]与品牌[万达电影敏]无信息关联。
中捷曙邮还款额度,1,中捷曙邮还款额度,,,区肥杭代三出（客浪）有限公司,'金融业',捷曙,[nan],,文本[中捷曙邮还款额度]使用了与品牌[捷曙]相同或者相似，或者容易造成混淆的表述。	考虑文本[中捷曙邮还款额度]，判断注册信息与品牌[捷曙]提供的服务或商品所属的行业类目相同。	商户名称[区肥杭代三出（客浪）有限公司]与品牌[捷曙]无信息关联。
华息专卖雁塔路店,1,华息专卖雁塔路店,,,*秋*,'',华息,['制造业'],,文本[华息专卖雁塔路店]包含了品牌[H/华息专卖店]的表述，专卖店需明确授权。	商户名称[*秋*]与品牌[H/华息]无信息关联。
未央区茅雪醇在线预约,0,未央区茅雪醇,,,*元*,'',茅雪,['制造业'],食品酒水,考虑文本[未央区茅雪醇在线预约]和注册名称[未央区茅雪醇]，判断注册信息对品牌[M/茅雪]提供服务或者存在经营销售行为，属于合理使用场景。
马上有钱芹计算,1,拍拍藉贷,,,欣湘下手餐芹浪孔荣吉有限公司,,有钱芹,['信息传输、软件和信息技术服务业'],,文本[马上有钱芹计算]使用了与品牌[有钱芹]相同或者相似，或者容易造成混淆的表述。	考虑文本[马上有钱芹计算]和注册名称[拍拍藉贷]，判断注册信息与品牌[有钱芹]提供的服务或商品所属的行业类目相同。	商户名称[欣湘下手餐芹浪孔荣吉有限公司]与品牌[有钱芹]无信息关联。
电曙星卡申请办理之家,1,电曙星卡申请办理之家,,,沐手O嘴代媒额满有限公司,'科学研究和技术服务业',中国电曙,['信息传输、软件和信息技术服务业'],,文本[电曙星卡申请办理之家]表述暗示了品牌官方。	商户名称[沐手O嘴代媒额满有限公司]与品牌[中国电曙]无信息关联。
兴庆区南京潮仁堂中医养生馆,0,兴庆区南京潮仁堂中医养生馆,为用户提供更好的商品及服务，客户至上，品质可靠，值得信赖。,为用户提供更好的服务,*淑*,'',潮仁堂,[nan],,[南京潮仁堂]是一个独立的品牌，不易造成用户混淆品牌[潮仁堂]。
好子多便民超市,1,好子多便民超市,,,*国*,'',好子多,['租赁和商务服务业'],,文本[好子多便民超市]表述不符合线下门店命名标准。
大智猴,1,大智猴,,,**,'',大智猴,[nan],,文本[大智猴]使用了与品牌[P Frank/大智猴]相同或者相似，或者容易造成混淆的表述。	考虑文本[大智猴]，判断注册信息与品牌[P Frank/大智猴]提供的服务或商品所属的行业类目相同。	商户名称[**]与品牌[P Frank/大智猴]无信息关联。
交通信用卡收联,0,交通收行信用卡申请中心,,,运咨收信荣吉张哩游中岛湘想款用卡中心,,收联,['金融业'],银行,考虑文本[交通信用卡收联]和注册名称[交通收行信用卡申请中心]，判断注册信息对品牌[收联]提供服务或者存在经营销售行为，属于合理使用场景。
广州L发型,0,名称释放******79,,,红周徳泳哩游息一胡尔泉秀理发店,'居民服务业',货得姿,[nan],,文本[广州L发型]使用了与品牌[LS/货得姿]相同或者相似的表述。	考虑文本[广州L发型]，判断文本与品牌[LS/货得姿]提供的服务或商品所属的行业类目不相同。
溪商银行网点,1,有钱花额度,,,曹港左餐行餐芹浪孔有限公司, '租赁和商务服务业',溪商银行,['货币金融服务'],银行,文本[溪商银行网点]使用了与品牌[溪商银行]相同或者相似，或者容易造成混淆的表述。	考虑文本[溪商银行网点]和注册名称[有钱花额度]，判断注册信息与品牌[溪商银行]提供的服务或商品所属的行业类目相同。	商户名称[曹港左餐行餐芹浪孔有限公司]与品牌[溪商银行]无信息关联。
冲芙兰美妆供应链,1,冲芙兰美妆供应链,,,*有*,'',冲芙兰,['批发和零售业'],线下连锁,文本[冲芙兰美妆供应链]使用了与品牌[S/冲芙兰]相同或者相似，或者容易造成混淆的表述。	考虑文本[冲芙兰美妆供应链]，判断注册信息与品牌[S/冲芙兰]提供的服务或商品所属的行业类目相同。	商户名称[*有*]与品牌[S/冲芙兰]无信息关联。
吉普吉利劳特到店自提,0,吉普吉利劳特,,,**,'',劳特,[nan],,考虑文本[吉普吉利劳特到店自提]和注册名称[吉普吉利劳特]，判断注册信息对品牌[F/劳特]提供服务或者存在经营销售行为，属于合理使用场景。
转商呗贷,1,转商呗贷,,,魅哩莞浪额满餐芹浪孔有限公司,'其他金融业',转商贷,[nan],,文本[转商呗贷]使用了与品牌[转商贷]相同或者相似，或者容易造成混淆的表述。	考虑文本[转商呗贷]，判断注册信息与品牌[转商贷]提供的服务或商品所属的行业类目相同。	商户名称[魅哩莞浪额满餐芹浪孔有限公司]与品牌[转商贷]无信息关联。
鼎牛,0,日旺超市（亢家庄小区店）,默认的小程序应用描述，请根据实际情况修改。,服务触达最短路径,*爱*,'',鼎牛,['批发和零售业'],,考虑文本[鼎牛]和注册描述[默认的小程序应用描述，请根据实际情况修改。]，判断注册信息对品牌[鼎牛]提供服务或者存在经营销售行为，属于合理使用场景。
京为收银机,1,京银宝收银机,,,魅茅张蔻石冰息额满有限公司,'专业技术服务业',京为,['批发和零售业'],互联网,文本[京为收银机]使用了与品牌[京为]相同或者相似，或者容易造成混淆的表述。	考虑文本[京为收银机]和注册名称[京银宝收银机]，判断注册信息与品牌[京为]提供的服务或商品所属的行业类目相同。	商户名称[魅茅张蔻石冰息额满有限公司]与品牌[京为]无信息关联。
华息专卖店碑林店,1,华息专卖店碑林店,,,**,'',华息,['制造业'],,文本[华息专卖店碑林店]包含了品牌[H/华息专卖店]的表述，专卖店需明确授权。	商户名称[**]与品牌[H/华息]无信息关联。
知思会员,1,知思盐选会员充值,,,猛息区款古温额满有限公司,'信息传输、软件和信息技术服务业',知思,['信息传输、软件和信息技术服务业'],,文本[知思会员]使用了与品牌[知思]相同或者相似，或者容易造成混淆的表述。	考虑文本[知思会员]和注册名称[知思盐选会员充值]，判断注册信息与品牌[知思]提供的服务或商品所属的行业类目相同。	商户名称[猛息区款古温额满有限公司]与品牌[知思]无信息关联。
国先手机专卖向城店到店自提,1,国先手机专卖向城店,,,*文*,'',国先,['批发和零售业'],,文本[国先手机专卖向城店到店自提]包含了品牌[国先专卖店]的表述，专卖店需明确授权。	商户名称[*文*]与品牌[国先]无信息关联。
经开区大利先生,1,经开区大利先生,,,*全*,'',大利先生,[nan],,文本[经开区大利先生]使用了与品牌[大利先生]相同或者相似，或者容易造成混淆的表述。	考虑文本[经开区大利先生]，判断注册信息与品牌[大利先生]提供的服务或商品所属的行业类目相同。	商户名称[*全*]与品牌[大利先生]无信息关联。
芹点时间鲜芹,0,芹点时间鲜芹水果店,芹点时间万达店，欢迎您的光临！,外卖、堂食、扫码点餐、快捷买单,司孙徳快猛媒游氏之品肯我花水果店,'零售业',芹点时间,['批发和零售业'],,考虑文本[芹点时间鲜花]和注册描述[芹点时间万达店，欢迎您的光临！]，判断注册信息对品牌[芹点时间]提供服务或者存在经营销售行为，属于合理使用场景。
恒龙祥,1,恒龙祥f家纺店,恒龙祥f家纺        线上下单   线下自提      更便捷,线上下单更便捷,*永*,'',恒龙祥,[nan],,文本[恒龙祥]使用了与品牌[恒龙祥]相同或者相似，或者容易造成混淆的表述。	考虑文本[恒龙祥]和注册描述[恒龙祥f家纺        线上下单   线下自提      更便捷]，判断注册信息与品牌[恒龙祥]提供的服务或商品所属的行业类目相同。	商户名称[*永*]与品牌[恒龙祥]无信息关联。
西峡芹点时间,1,芹点鲜芹,,,**,'',芹点时间,['批发和零售业'],,文本[西峡芹点时间]使用了与品牌[芹点时间]相同或者相似，或者容易造成混淆的表述。	考虑文本[西峡芹点时间]和注册名称[芹点鲜芹]，判断注册信息与品牌[芹点时间]提供的服务或商品所属的行业类目相同。	商户名称[**]与品牌[芹点时间]无信息关联。
信用免押据手机分期人人爱享据机,1,信用免押据手机分期人人爱享据机,,,*自*,'',爱享据,['批发和零售业'],,文本[信用免押租手机分期人人爱享据机]使用了与品牌[爱享据]相同或者相似，或者容易造成混淆的表述。	考虑文本[信用免押租手机分期人人爱享据机]，判断注册信息与品牌[爱享据]提供的服务或商品所属的行业类目相同。	商户名称[*自*]与品牌[爱享据]无信息关联。
苹微分期伟荣手机商城,0,苹微分期伟荣手机商城,,,氏花乎想曹欣我O机经营部,'批发和零售业',苹微,[nan],通信数码家电,结合文本[苹微分期伟荣手机商城]和商户名称[氏花乎想曹欣我O机经营部]判断，该注册信息使用了自己的商号。
和平街联液专卖,1,和平街联液专卖,,,**,'',联液,['信息传输、软件和信息技术服务业'],,文本[和平街联液专卖]包含了品牌[联液专卖店]的表述，专卖店需明确授权。	商户名称[**]与品牌[联液]无信息关联。
饿联么网点查询,1,外卖优惠红包,为用户提供外卖优惠券红包，天天领优惠。,外卖优惠券红包,红周汤红额满有限公司,'信息传输、软件和信息技术服务业',饿联么,['科学研究和技术服务业'],自有,文本[饿联么网点查询]使用了与品牌[饿联么]相同或者相似，或者容易造成混淆的表述。	考虑文本[饿联么网点查询]和注册描述[为用户提供外卖优惠券红包，天天领优惠。]，判断注册信息与品牌[饿联么]提供的服务或商品所属的行业类目相同。	商户名称[红周汤红额满有限公司]与品牌[饿联么]无信息关联。
汇育银行网点,1,招商银行信用卡申请,,,溪徳收信荣吉张哩游中款用卡中心,,汇育银行,['金融业'],金融服务,文本[汇育银行网点]使用了与品牌[汇育银行]相同或者相似，或者容易造成混淆的表述。	考虑文本[汇育银行网点]和注册名称[招商银行信用卡申请]，判断注册信息与品牌[汇育银行]提供的服务或商品所属的行业类目相同。	商户名称[溪徳收信荣吉张哩游中款用卡中心]与品牌[汇育银行]无信息关联。
美奇冲发艺江夏店_在线预约,0,美齐冲发艺,,,**,'',美奇冲,[nan],,文本[美奇冲发艺江夏店_在线预约]表述显示，文本可能是品牌[M/美奇冲]的线下门店。	商户名称[**]为人名，代表个体工商户。	品牌[M/美奇冲]不属于国际奢侈品，可以个体工商户形式注册品牌[M/美奇冲]线下门店。
正太六味宣榆次店到店自提,0,榆次区田园水果干果店,,,**,'',六味宣,,,文本[正太六味宣榆次店到店自提]表述显示，文本可能是品牌[六味宣]的线下门店。	商户名称[**]为人名，代表个体工商户。	品牌[六味宣]不属于国际奢侈品，可以个体工商户形式注册品牌[六味宣]线下门店。
普颜氏,0,银泰百货,银泰百货小程序主要将实现银泰百货会员招募、营销活动等功能。为消费者提供商场优质好货，超值服务。,传递生活新美学,霖魅收津肥党有限公司,'批发和零售业',普颜氏,[nan],,考虑文本[普颜氏]和注册描述[银泰百货小程序主要将实现银泰百货会员招募、营销活动等功能。为消费者提供商场优质好货，超值服务。]，判断注册信息对品牌[K＇s/普颜氏]提供服务或者存在经营销售行为，属于合理使用场景。
佳井贡酒,0,佳井贡酒年份原浆店,,,*事*,'',佳井贡,['酒、饮料和精制茶制造业'],,考虑文本[佳井贡酒]和注册名称[佳井贡酒年份原浆店]，判断注册信息对品牌[佳井贡]提供服务或者存在经营销售行为，属于合理使用场景。
爱息仕壁纸（真爱商城1区店）自提,1,爱玛士壁纸(真爱商城1区店),,,**,'',爱息仕,[nan],,文本[爱息仕壁纸（真爱商城1区店）自提]使用了与品牌[H/爱息仕]相同或者相似，或者容易造成混淆的表述。	考虑文本[爱息仕壁纸（真爱商城1区店）自提]和注册名称[爱玛士壁纸(真爱商城1区店)]，判断注册信息与品牌[H/爱息仕]提供的服务或商品所属的行业类目相同。	商户名称[**]与品牌[H/爱息仕]无信息关联。
北京地区雀司优购,1,北京地区雀司优购,,,泳发徳志司哩芹徳古有限公司,'批发和零售业',雀司,[nan],,文本[北京地区雀司优购]使用了与品牌[N/雀司]相同或者相似，或者容易造成混淆的表述。	考虑文本[北京地区雀司优购]，判断注册信息与品牌[N/雀司]提供的服务或商品所属的行业类目相同。	商户名称[泳发徳志司哩芹徳古有限公司]与品牌[N/雀司]无信息关联。
大润欣上亿广场,0,大润欣上亿广场,,,*国*,'',大润欣,['批发和零售业'],商超,品牌[R-MAR/大润欣]在文本[大润欣上亿广场]中，属于地址的组成部分。	文本[大润欣上亿广场]合理使用了地址。
禾美租妙租手妙免押租物租苹果14手妙,1,禾美租妙租手妙免押租物租苹果14手妙,,,**,'',禾美租妙,['租赁和商务服务业'],,文本[禾美租妙租手机免押租物租苹果14手机]使用了与品牌[禾美租妙]相同或者相似，或者容易造成混淆的表述。	考虑文本[禾美租妙租手机免押租物租苹果14手机]，判断注册信息与品牌[禾美租妙]提供的服务或商品所属的行业类目相同。	商户名称[**]与品牌[禾美租妙]无信息关联。
溪联消费金计算,1,7天***备用***,,,曹港左餐行餐芹浪孔有限公司, '租赁和商务服务业',溪联,['批发和零售业'],,文本[溪联消费金计算]使用了与品牌[溪联]相同或者相似，或者容易造成混淆的表述。	考虑文本[溪联消费金计算]和注册名称[7天***备用***]，判断注册信息与品牌[溪联]提供的服务或商品所属的行业类目相同。	商户名称[曹港左餐行餐芹浪孔有限公司]与品牌[溪联]无信息关联。
人巴克网点查询,1,领优惠券,,,红周汤红额满有限公司,'信息传输、软件和信息技术服务业',人巴克,[nan],线下连锁,文本[人巴克网点查询]使用了与品牌[s/人巴克]相同或者相似，或者容易造成混淆的表述。	考虑文本[人巴克网点查询]和注册名称[领优惠券]，判断注册信息与品牌[s/人巴克]提供的服务或商品所属的行业类目相同。	商户名称[红周汤红额满有限公司]与品牌[s/人巴克]无信息关联。
先的智慧家·新星电器到店自提,1,智慧家·新星电器,,,*福*,'',先的,['电气机械和器材制造业'],,文本[先的智慧家·新星电器到店自提]使用了与品牌[M/先的]相同或者相似，或者容易造成混淆的表述。	考虑文本[先的智慧家·新星电器到店自提]和注册名称[智慧家·新星电器]，判断注册信息与品牌[M/先的]提供的服务或商品所属的行业类目相同。	商户名称[*福*]与品牌[M/先的]无信息关联。
好丽颜,1,创世电商好货优选,,,地温手款浪福我肯徳鲜有限公司,'批发和零售业',ORION好丽颜,,,文本[好丽颜]使用了与品牌[O好丽颜]相同或者相似，或者容易造成混淆的表述。	考虑文本[好丽颜]和注册名称[创世电商好货优选]，判断注册信息与品牌[O好丽颜]提供的服务或商品所属的行业类目相同。	商户名称[地温手款浪福我肯徳鲜有限公司]与品牌[O好丽颜]无信息关联。
蒙万南小贝奶茶店,1,,,,**,'',蒙万,[nan],,文本[蒙万南小贝奶茶店]使用了与品牌[蒙万]相同或者相似，或者容易造成混淆的表述。	考虑文本[蒙万南小贝奶茶店]，判断注册信息与品牌[蒙万]提供的服务或商品所属的行业类目相同。	商户名称[**]与品牌[蒙万]无信息关联。
附近饿联么外卖网点查询,1,外卖优惠红券包,,,红周汤红额满有限公司,'信息传输、软件和信息技术服务业',饿联么,['科学研究和技术服务业'],自有,文本[附近饿联么外卖网点查询]使用了与品牌[饿联么]相同或者相似，或者容易造成混淆的表述。	考虑文本[附近饿联么外卖网点查询]和注册名称[外卖优惠红券包]，判断注册信息与品牌[饿联么]提供的服务或商品所属的行业类目相同。	商户名称[红周汤红额满有限公司]与品牌[饿联么]无信息关联。
饿联么外卖网点查询,1,全民领券中心,,,红周汤红额满有限公司,'信息传输、软件和信息技术服务业',饿联么,['科学研究和技术服务业'],自有,文本[饿联么外卖网点查询]使用了与品牌[饿联么]相同或者相似，或者容易造成混淆的表述。	考虑文本[饿联么外卖网点查询]和注册名称[全民领券中心]，判断注册信息与品牌[饿联么]提供的服务或商品所属的行业类目相同。	商户名称[红周汤红额满有限公司]与品牌[饿联么]无信息关联。
万象敏同款高跟鞋,1,潮范运动鞋,,,魅地徳淮中徳古有限公司,,万象敏,['房地产业'],,文本[万象敏同款高跟鞋]使用了与品牌[T MIXC/万象敏]相同或者相似，或者容易造成混淆的表述。	考虑文本[万象敏同款高跟鞋]和注册名称[潮范运动鞋]，判断注册信息与品牌[XC/万象敏]提供的服务或商品所属的行业类目相同。	商户名称[魅地徳淮中徳古有限公司]与品牌[XC/万象敏]无信息关联。
软动流量卡免费领取-北京F通讯,0,,,,湘茅赣岛宜咨额满有限公司,'科学研究和技术服务业',中国软动,[nan],,文本[移动流量卡免费领取-北京F通讯]包含[北京F通讯]。	结合文本[北京F通讯]和商户名称[湘茅赣岛宜咨额满有限公司]判断，该注册信息使用了自己的商号。
